"","word","sentiment"
"1156","crook","negative"
"1157","crooked","negative"
"1158","crooks","negative"
"1159","crowded","negative"
"1160","crowdedness","negative"
"1161","crude","negative"
"1162","cruel","negative"
"1163","crueler","negative"
"1164","cruelest","negative"
"1165","cruelly","negative"
"1166","cruelness","negative"
"1167","cruelties","negative"
"1168","cruelty","negative"
"1169","crumble","negative"
"1170","crumbling","negative"
"1171","crummy","negative"
"1172","crumple","negative"
"1173","crumpled","negative"
"1174","crumples","negative"
"1175","crush","negative"
"1176","crushed","negative"
"1177","crushing","negative"
"1178","cry","negative"
"1179","culpable","negative"
"1180","culprit","negative"
"1181","cumbersome","negative"
"1182","cunt","negative"
"1183","cunts","negative"
"1184","cuplrit","negative"
"1185","cure","positive"
"1186","cure-all","positive"
"1187","curse","negative"
"1188","cursed","negative"
"1189","curses","negative"
"1190","curt","negative"
"1191","cushy","positive"
"1192","cuss","negative"
"1193","cussed","negative"
"1194","cute","positive"
"1195","cuteness","positive"
"1196","cutthroat","negative"
"1197","cynical","negative"
"1198","cynicism","negative"
"1199","d*mn","negative"
"1200","damage","negative"
"1201","damaged","negative"
"1202","damages","negative"
"1203","damaging","negative"
"1204","damn","negative"
"1205","damnable","negative"
"1206","damnably","negative"
"1207","damnation","negative"
"1208","damned","negative"
"1209","damning","negative"
"1210","damper","negative"
"1211","danger","negative"
"1212","dangerous","negative"
"1213","dangerousness","negative"
"1214","danke","positive"
"1215","danken","positive"
"1216","daring","positive"
"1217","daringly","positive"
"1218","dark","negative"
"1219","darken","negative"
